College Name,Website,City,State,Data Analytics Only,Data Analytics degree/cert Offered,Data Science degree/cert Offered,Offers Certificate,Offers AS,Offer Data Science Course,COUNTY,LATITUDE,LONGITUDE
Clovis Community College,,Fresno,California,0,0,0,0,0,0,Fresno,36.841107,-119.800359
San Jose City College,https://sjcc.edu/dept/computer-information-systems/data-analytics.aspx,San Jose,California,1,1,0,1,0,1,Santa Clara,37.3894,-121.8868
Solano Community College,https://welcome.solano.edu/data-science/#,Fairfield,California,0,0,1,1,1,1,Solano,38.267084,-122.03565
Imperial Valley College,,Imperial,California,0,0,0,0,0,0,Imperial,32.846954,-115.572984
Ohlone College,,Fremont,California,0,0,0,0,0,0,Alameda,37.560493,-121.999935
Shasta College,,Redding,California,0,0,0,0,0,0,Shasta,40.560493,-122.411627
Hartnell College,,Salinas,California,0,0,0,0,0,0,Monterey,36.667693,-121.659589
Reedley College,,Reedley,California,0,0,0,0,0,0,Fresno,36.604406,-119.437785
Cuyamaca College,,El Cajon,California,0,0,0,0,0,0,San Diego,32.777726,-116.919055
Los Medanos College,,Pittsburgh,California,0,0,0,0,0,0,Pittsburg,38.006458,-121.862
Monterey Peninsula College,,Monterey,California,0,0,0,0,0,0,Monterey,36.595642,-121.8848
Las Positas College,https://laspositascollege.edu/catalog/current/cis/dataanalytics-ca.php,Livermore,California,1,1,0,1,0,0,Alameda,37.68299,-121.762983
Mission College,https://mission.elumenapp.com/catalog/24-25/program/data-analyst-associate-ca-2021sp#mainContent,Santa Clara,California,0,1,0,1,0,1,Santa Clara,37.34732,-121.954079
Oxnard College,,Oxnard,California,0,0,0,0,0,0,Ventura,34.214142,-119.174952
Merrit College,https://www.merritt.edu/wp-content/uploads/2021/06/r4_MC_Computer_Science_Advisory_Guide_210621.pdf,Oakland,California,0,0,0,0,0,0,Alameda,37.780595,-122.216587
Berkeley City College,,Berkeley,California,0,0,0,0,0,0,Alameda,37.8691,-122.2696
Gavilan College,,Gilroy,California,0,0,0,0,0,0,Santa Clara,37.016005,-121.57825
Contra Costa College,,San Pablo,California,0,0,0,0,0,0,Contra Costa,37.972374,-122.336929
College of Marin,,Kentfield,California,0,0,0,0,0,0,Marin,37.952222,-122.556111
Crafton Hills College,,Yucaipa,California,0,0,0,0,0,0,San Bernardino,34.028197,-117.048925
Canada College,,Redwood City,California,0,0,0,0,0,0,San Mateo,37.464661,-122.230406
Los Angeles Southwest College,,Los Angeles,California,0,0,0,0,0,0,Los Angeles,33.973093,-118.247896
Madera College,https://www.maderacollege.edu/academics/training-institute/ugotclass-online-training.html,Madera,California,0,0,0,0,0,0,Madera,36.9528,-119.8806
College of Alameda,https://alameda.edu/wp-content/uploads/2024/09/CIS.pdf,Alameda,California,1,1,0,1,0,0,Alameda,37.764783,-122.260516
Yuba College,,Marysville,California,0,0,0,0,0,0,Yuba,39.141653,-121.522467
Cerro Costo Community College,https://www.cerrocoso.edu/academics/programs/coa/data-analyst-i-certificate.html#courses,Ridgecrest,California,1,1,0,1,0,0,Kern,35.631376,-117.679733
Porterville College,,Porterville,California,0,0,0,0,0,0,Tulare,36.068636,-119.031549
Mendocino College,https://www.mendocino.edu/sites/default/files/2024-08/Final%20MC%20Catalog%202024-25%20web.pdf,Ukiah,California,0,0,0,0,0,1,Mendocino,39.151917,-123.200692
